"team","week","group","first.seen","last.seen","status","time.diff","fix.avail","escaped"
"5","1","Test Team 1",2020-01-09,2020-01-09,1,0,2020-01-09,0
"5","1","Test Team 1",2020-01-07,2020-06-29,1,174,2019-08-31,1
"6","1","Test Team 1",2020-01-09,2020-07-05,1,178,2020-02-01,0
"6","1","Test Team 1",2020-01-10,2021-01-01,0,357,2019-06-10,1
"6","1","Test Team 1",2020-01-05,2021-01-01,0,362,2020-01-27,0
"6","1","Test Team 1",2020-01-06,2021-01-01,0,361,2020-05-18,0
"6","1","Test Team 1",2020-01-07,2020-04-08,1,92,2019-01-03,1
"6","1","Test Team 1",2020-01-08,2020-01-18,1,10,2019-03-18,1
"6","1","Test Team 1",2020-01-09,2020-05-09,1,121,2020-01-29,0
"6","1","Test Team 1",2020-01-09,2020-08-02,1,206,2020-01-09,0
"6","1","Test Team 1",2020-01-08,2021-01-01,0,359,2021-01-01,0
"6","1","Test Team 1",2020-01-06,2020-02-26,1,51,2020-01-22,0
"6","1","Test Team 1",2020-01-05,2020-05-03,1,119,2020-02-05,0
"6","1","Test Team 1",2020-01-06,2021-01-01,0,361,2020-08-26,0
"6","1","Test Team 1",2020-01-11,2020-01-19,1,8,2019-12-07,1
"6","1","Test Team 1",2020-01-09,2021-01-01,0,358,2021-01-01,0
"6","1","Test Team 1",2020-01-07,2020-03-19,1,72,2020-02-23,0
"6","1","Test Team 1",2020-01-10,2020-04-19,1,100,2020-02-13,0
"7","1","Test Team 1",2020-01-05,2020-02-18,1,44,2020-02-18,0
"7","1","Test Team 1",2020-01-09,2021-01-01,0,358,2020-12-31,0
"7","1","Test Team 1",2020-01-08,2021-01-01,0,359,2020-11-20,0
"7","1","Test Team 1",2020-01-07,2020-02-26,1,50,2020-02-21,0
"7","1","Test Team 1",2020-01-05,2020-03-20,1,75,2020-01-19,0
"8","1","Test Team 1",2020-01-08,2020-02-23,1,46,2020-01-15,0
"8","1","Test Team 1",2020-01-10,2020-05-08,1,119,2020-03-24,0
"8","1","Test Team 1",2020-01-11,2020-06-09,1,150,2020-03-03,0
"8","1","Test Team 1",2020-01-07,2020-03-30,1,83,2019-08-31,1
"8","1","Test Team 1",2020-01-07,2020-01-14,1,7,2019-04-05,1
"8","1","Test Team 1",2020-01-11,2021-01-01,0,356,2019-08-29,1
"8","1","Test Team 1",2020-01-10,2020-04-03,1,84,2019-10-10,1
"9","1","Test Team 1",2020-01-11,2020-04-13,1,93,2020-02-26,0
"9","1","Test Team 1",2020-01-06,2020-03-03,1,57,2020-01-29,0
"9","1","Test Team 1",2020-01-09,2021-01-01,0,358,2019-10-24,1
"9","1","Test Team 1",2020-01-06,2021-01-01,0,361,2019-07-26,1
"9","1","Test Team 1",2020-01-11,2020-01-17,1,6,2020-01-14,0
"9","1","Test Team 1",2020-01-10,2021-01-01,0,357,2019-12-30,1
"9","1","Test Team 1",2020-01-05,2020-01-06,1,1,2020-01-06,0
"9","1","Test Team 1",2020-01-09,2020-07-17,1,190,2020-01-15,0
"9","1","Test Team 1",2020-01-09,2020-08-08,1,212,2019-12-01,1
"10","1","Test Team 1",2020-01-08,2020-02-18,1,41,2019-07-07,1
"10","1","Test Team 1",2020-01-05,2020-02-04,1,30,2020-01-07,0
"10","1","Test Team 1",2020-01-05,2020-08-06,1,214,2020-07-10,0
"10","1","Test Team 1",2020-01-11,2020-02-28,1,48,2019-04-06,1
"10","1","Test Team 1",2020-01-11,2020-07-01,1,172,2020-01-17,0
"10","1","Test Team 1",2020-01-09,2021-01-01,0,358,2021-01-01,0
"10","1","Test Team 1",2020-01-07,2020-01-07,1,0,2019-02-12,1
"10","1","Test Team 1",2020-01-10,2020-06-23,1,165,2019-11-06,1
"10","1","Test Team 1",2020-01-08,2020-06-25,1,169,2020-06-21,0
"10","1","Test Team 1",2020-01-09,2021-01-01,0,358,2020-02-01,0
"1","2","Test Team 1",2020-01-18,2020-01-18,1,0,2019-06-14,1
"1","2","Test Team 1",2020-01-14,2020-07-02,1,170,2020-02-17,0
"1","2","Test Team 1",2020-01-18,2020-01-18,1,0,2020-01-18,0
"1","2","Test Team 1",2020-01-16,2020-02-05,1,20,2020-02-01,0
"1","2","Test Team 1",2020-01-18,2020-01-21,1,3,2020-01-21,0
"1","2","Test Team 1",2020-01-13,2021-01-01,0,354,2020-03-20,0
"1","2","Test Team 1",2020-01-14,2020-05-20,1,127,2020-03-13,0
"1","2","Test Team 1",2020-01-17,2020-03-04,1,47,2020-02-26,0
"1","2","Test Team 1",2020-01-14,2020-07-15,1,183,2019-09-26,1
"1","2","Test Team 1",2020-01-18,2020-03-17,1,59,2020-03-15,0
"1","2","Test Team 1",2020-01-16,2020-05-21,1,126,2020-03-15,0
"1","2","Test Team 1",2020-01-18,2020-08-14,1,209,2020-08-02,0
"1","2","Test Team 1",2020-01-16,2021-01-01,0,351,2021-01-01,0
"1","2","Test Team 1",2020-01-17,2021-01-01,0,350,2019-06-14,1
"1","2","Test Team 1",2020-01-13,2021-01-01,0,354,2020-03-09,0
"2","2","Test Team 1",2020-01-18,2020-05-01,1,104,2019-07-26,1
"2","2","Test Team 1",2020-01-15,2020-03-18,1,63,2019-07-20,1
"2","2","Test Team 1",2020-01-15,2021-01-01,0,352,2021-01-01,0
"2","2","Test Team 1",2020-01-16,2020-02-14,1,29,2020-02-08,0
"2","2","Test Team 1",2020-01-12,2020-03-31,1,79,2019-11-26,1
"2","2","Test Team 1",2020-01-15,2020-03-24,1,69,2020-03-02,0
"2","2","Test Team 1",2020-01-13,2020-08-05,1,205,2019-06-21,1
"2","2","Test Team 1",2020-01-12,2020-01-14,1,2,2020-01-13,0
"2","2","Test Team 1",2020-01-14,2021-01-01,0,353,2019-11-25,1
"2","2","Test Team 1",2020-01-17,2020-04-30,1,104,2020-04-17,0
"2","2","Test Team 1",2020-01-12,2021-01-01,0,355,2021-01-01,0
"3","2","Test Team 1",2020-01-12,2020-02-29,1,48,2020-02-10,0
"3","2","Test Team 1",2020-01-14,2020-01-31,1,17,2019-05-27,1
"3","2","Test Team 1",2020-01-18,2021-01-01,0,349,2020-11-01,0
"3","2","Test Team 1",2020-01-14,2021-01-01,0,353,2021-01-01,0
"3","2","Test Team 1",2020-01-15,2020-05-09,1,115,2019-01-19,1
"3","2","Test Team 1",2020-01-13,2021-01-01,0,354,2019-02-08,1
"3","2","Test Team 1",2020-01-14,2021-01-01,0,353,2021-01-01,0
"3","2","Test Team 1",2020-01-18,2020-06-16,1,150,2020-04-16,0
"3","2","Test Team 1",2020-01-18,2020-01-27,1,9,2020-01-24,0
"3","2","Test Team 1",2020-01-12,2020-03-17,1,65,2020-02-19,0
"3","2","Test Team 1",2020-01-12,2020-02-21,1,40,2020-02-10,0
"3","2","Test Team 1",2020-01-13,2020-01-24,1,11,2020-01-22,0
"3","2","Test Team 1",2020-01-12,2020-05-01,1,110,2020-03-29,0
"3","2","Test Team 1",2020-01-16,2021-01-01,0,351,2021-01-01,0
"3","2","Test Team 1",2020-01-15,2020-07-15,1,182,2020-04-08,0
"3","2","Test Team 1",2020-01-12,2020-03-12,1,60,2019-08-12,1
"3","2","Test Team 1",2020-01-14,2021-01-01,0,353,2021-01-01,0
"3","2","Test Team 1",2020-01-17,2020-02-24,1,38,2019-09-22,1
"3","2","Test Team 1",2020-01-18,2020-04-14,1,87,2020-02-21,0
"4","2","Test Team 1",2020-01-17,2021-01-01,0,350,2021-01-01,0
"4","2","Test Team 1",2020-01-18,2020-05-25,1,128,2020-02-22,0
"4","2","Test Team 1",2020-01-16,2021-01-01,0,351,2019-02-08,1
"4","2","Test Team 1",2020-01-13,2021-01-01,0,354,2020-10-18,0
"4","2","Test Team 1",2020-01-15,2021-01-01,0,352,2019-01-19,1
"4","2","Test Team 1",2020-01-17,2021-01-01,0,350,2019-04-15,1
"4","2","Test Team 1",2020-01-14,2020-01-27,1,13,2019-05-04,1
"4","2","Test Team 1",2020-01-13,2021-01-01,0,354,2021-01-01,0
"4","2","Test Team 1",2020-01-16,2020-03-09,1,53,2020-02-28,0
"4","2","Test Team 1",2020-01-16,2021-01-01,0,351,2020-12-15,0
"4","2","Test Team 1",2020-01-13,2021-01-01,0,354,2020-04-24,0
"4","2","Test Team 1",2020-01-15,2020-01-29,1,14,2020-01-19,0
"4","2","Test Team 1",2020-01-15,2020-04-09,1,85,2020-03-27,0
"4","2","Test Team 1",2020-01-15,2020-06-15,1,152,2020-06-04,0
"4","2","Test Team 1",2020-01-17,2020-03-01,1,44,2020-03-01,0
"4","2","Test Team 1",2020-01-12,2020-07-30,1,200,2019-10-13,1
"4","2","Test Team 1",2020-01-15,2021-01-01,0,352,2019-10-21,1
"4","2","Test Team 1",2020-01-17,2021-01-01,0,350,2021-01-01,0
"4","2","Test Team 1",2020-01-16,2021-01-01,0,351,2019-10-08,1
"4","2","Test Team 1",2020-01-13,2021-01-01,0,354,2020-03-18,0
"5","2","Test Team 1",2020-01-13,2020-04-28,1,106,2019-04-27,1
"5","2","Test Team 1",2020-01-12,2021-01-01,0,355,2021-01-01,0
"5","2","Test Team 1",2020-01-13,2020-01-22,1,9,2019-08-30,1
"5","2","Test Team 1",2020-01-13,2020-03-25,1,72,2020-03-08,0
"5","2","Test Team 1",2020-01-14,2020-01-24,1,10,2020-01-20,0
"5","2","Test Team 1",2020-01-12,2020-02-05,1,24,2020-02-02,0
"5","2","Test Team 1",2020-01-15,2020-01-19,1,4,2020-01-15,0
"5","2","Test Team 1",2020-01-18,2020-02-08,1,21,2020-02-08,0
"5","2","Test Team 1",2020-01-15,2020-02-06,1,22,2020-01-23,0
"6","2","Test Team 1",2020-01-18,2020-03-30,1,72,2019-04-12,1
"6","2","Test Team 1",2020-01-16,2021-01-01,0,351,2021-01-01,0
"7","2","Test Team 1",2020-01-14,2020-04-09,1,86,2019-08-22,1
"7","2","Test Team 1",2020-01-16,2020-02-23,1,38,2020-02-08,0
"7","2","Test Team 1",2020-01-12,2021-01-01,0,355,2019-01-11,1
"7","2","Test Team 1",2020-01-15,2021-01-01,0,352,2020-10-07,0
"7","2","Test Team 1",2020-01-18,2021-01-01,0,349,2021-01-01,0
"7","2","Test Team 1",2020-01-12,2020-05-22,1,131,2019-11-30,1
"8","2","Test Team 1",2020-01-14,2020-02-29,1,46,2020-02-09,0
"8","2","Test Team 1",2020-01-16,2020-02-11,1,26,2020-01-25,0
"8","2","Test Team 1",2020-01-13,2020-06-08,1,147,2020-03-27,0
"8","2","Test Team 1",2020-01-15,2020-05-13,1,119,2020-03-23,0
"8","2","Test Team 1",2020-01-13,2020-05-15,1,123,2019-06-02,1
"8","2","Test Team 1",2020-01-14,2020-01-14,1,0,2019-06-06,1
"8","2","Test Team 1",2020-01-15,2020-07-23,1,190,2019-09-22,1
"9","2","Test Team 1",2020-01-17,2021-01-01,0,350,2020-01-05,1
"9","2","Test Team 1",2020-01-12,2021-01-01,0,355,2020-03-15,0
"9","2","Test Team 1",2020-01-16,2020-06-09,1,145,2019-04-08,1
"9","2","Test Team 1",2020-01-16,2020-01-19,1,3,2019-03-29,1
"9","2","Test Team 1",2020-01-13,2021-01-01,0,354,2020-10-28,0
"9","2","Test Team 1",2020-01-15,2020-05-28,1,134,2020-05-06,0
"9","2","Test Team 1",2020-01-15,2020-01-27,1,12,2019-07-02,1
"9","2","Test Team 1",2020-01-18,2020-05-08,1,111,2020-02-15,0
"9","2","Test Team 1",2020-01-16,2020-08-09,1,206,2020-02-13,0
"9","2","Test Team 1",2020-01-12,2020-02-08,1,27,2020-01-14,0
"9","2","Test Team 1",2020-01-13,2020-02-04,1,22,2019-09-12,1
"9","2","Test Team 1",2020-01-12,2021-01-01,0,355,2020-06-21,0
"10","2","Test Team 1",2020-01-18,2020-02-03,1,16,2019-07-13,1
"10","2","Test Team 1",2020-01-15,2021-01-01,0,352,2020-05-01,0
"10","2","Test Team 1",2020-01-18,2020-02-12,1,25,2019-02-16,1
"10","2","Test Team 1",2020-01-16,2021-01-01,0,351,2020-04-28,0
"10","2","Test Team 1",2020-01-15,2020-04-26,1,102,2020-04-09,0
"10","2","Test Team 1",2020-01-14,2021-01-01,0,353,2020-09-10,0
"10","2","Test Team 1",2020-01-18,2020-06-24,1,158,2020-02-13,0
"10","2","Test Team 1",2020-01-17,2021-01-01,0,350,2019-12-24,1
"10","2","Test Team 1",2020-01-13,2020-02-04,1,22,2020-01-22,0
"1","3","Test Team 1",2020-01-25,2020-06-25,1,152,2020-02-09,0
"1","3","Test Team 1",2020-01-24,2020-03-22,1,58,2019-11-26,1
"1","3","Test Team 1",2020-01-23,2020-04-08,1,76,2020-03-20,0
"1","3","Test Team 1",2020-01-23,2021-01-01,0,344,2019-11-10,1
"1","3","Test Team 1",2020-01-25,2020-04-08,1,74,2019-12-20,1
"1","3","Test Team 1",2020-01-24,2020-02-26,1,33,2019-12-11,1
"1","3","Test Team 1",2020-01-22,2020-01-22,1,0,2019-06-03,1
"1","3","Test Team 1",2020-01-19,2020-01-29,1,10,2020-01-24,0
"1","3","Test Team 1",2020-01-25,2021-01-01,0,342,2019-08-29,1
"1","3","Test Team 1",2020-01-24,2020-08-11,1,200,2020-02-12,0
"1","3","Test Team 1",2020-01-21,2021-01-01,0,346,2020-05-23,0
"1","3","Test Team 1",2020-01-22,2020-01-23,1,1,2019-02-25,1
"1","3","Test Team 1",2020-01-21,2021-01-01,0,346,2019-02-23,1
"2","3","Test Team 1",2020-01-19,2020-01-29,1,10,2019-05-30,1
"2","3","Test Team 1",2020-01-19,2021-01-01,0,348,2021-01-01,0
"2","3","Test Team 1",2020-01-24,2020-03-26,1,62,2020-02-15,0
"2","3","Test Team 1",2020-01-21,2021-01-01,0,346,2021-01-01,0
"2","3","Test Team 1",2020-01-22,2020-01-25,1,3,2020-01-24,0
"2","3","Test Team 1",2020-01-25,2021-01-01,0,342,2019-05-16,1
"2","3","Test Team 1",2020-01-21,2020-03-06,1,45,2020-02-11,0
"3","3","Test Team 1",2020-01-23,2020-02-12,1,20,2020-02-10,0
"3","3","Test Team 1",2020-01-19,2020-05-29,1,131,2019-08-10,1
"3","3","Test Team 1",2020-01-19,2020-03-06,1,47,2020-02-02,0
"3","3","Test Team 1",2020-01-24,2020-03-18,1,54,2020-02-21,0
"3","3","Test Team 1",2020-01-21,2020-06-10,1,141,2020-05-28,0
"3","3","Test Team 1",2020-01-25,2021-01-01,0,342,2019-12-19,1
"3","3","Test Team 1",2020-01-24,2020-02-27,1,34,2020-01-29,0
"3","3","Test Team 1",2020-01-21,2021-01-01,0,346,2020-11-25,0
"3","3","Test Team 1",2020-01-21,2020-05-02,1,102,2019-10-30,1
"4","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-06-27,1
"5","3","Test Team 1",2020-01-25,2021-01-01,0,342,2019-08-20,1
"5","3","Test Team 1",2020-01-25,2021-01-01,0,342,2021-01-01,0
"5","3","Test Team 1",2020-01-20,2021-01-01,0,347,2020-01-09,1
"5","3","Test Team 1",2020-01-21,2021-01-01,0,346,2019-10-06,1
"5","3","Test Team 1",2020-01-20,2020-06-11,1,143,2020-01-21,0
"5","3","Test Team 1",2020-01-19,2021-01-01,0,348,2019-08-28,1
"5","3","Test Team 1",2020-01-20,2020-06-16,1,148,2020-02-13,0
"5","3","Test Team 1",2020-01-20,2020-03-21,1,61,2019-03-08,1
"5","3","Test Team 1",2020-01-25,2020-07-10,1,167,2019-12-20,1
"5","3","Test Team 1",2020-01-24,2020-04-09,1,76,2020-03-20,0
"5","3","Test Team 1",2020-01-24,2021-01-01,0,343,2021-01-01,0
"5","3","Test Team 1",2020-01-20,2021-01-01,0,347,2019-07-07,1
"5","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-08-28,1
"5","3","Test Team 1",2020-01-19,2021-01-01,0,348,2019-11-22,1
"5","3","Test Team 1",2020-01-20,2021-01-01,0,347,2021-01-01,0
"5","3","Test Team 1",2020-01-22,2020-02-15,1,24,2019-12-12,1
"5","3","Test Team 1",2020-01-19,2020-07-22,1,185,2019-12-12,1
"5","3","Test Team 1",2020-01-19,2020-05-29,1,131,2020-04-02,0
"6","3","Test Team 1",2020-01-25,2021-01-01,0,342,2021-01-01,0
"6","3","Test Team 1",2020-01-21,2021-01-01,0,346,2019-06-02,1
"6","3","Test Team 1",2020-01-23,2021-01-01,0,344,2021-01-01,0
"6","3","Test Team 1",2020-01-19,2020-05-08,1,110,2019-06-24,1
"6","3","Test Team 1",2020-01-19,2021-01-01,0,348,2020-02-28,0
"6","3","Test Team 1",2020-01-25,2020-02-14,1,20,2019-11-18,1
"6","3","Test Team 1",2020-01-21,2021-01-01,0,346,2021-01-01,0
"6","3","Test Team 1",2020-01-21,2021-01-01,0,346,2019-06-20,1
"6","3","Test Team 1",2020-01-23,2021-01-01,0,344,2021-01-01,0
"6","3","Test Team 1",2020-01-25,2020-02-05,1,11,2020-02-03,0
"6","3","Test Team 1",2020-01-23,2020-07-15,1,174,2020-03-11,0
"6","3","Test Team 1",2020-01-23,2020-03-19,1,56,2019-05-12,1
"7","3","Test Team 1",2020-01-25,2020-07-12,1,169,2019-06-19,1
"7","3","Test Team 1",2020-01-23,2020-02-02,1,10,2020-01-29,0
"7","3","Test Team 1",2020-01-25,2020-02-20,1,26,2020-02-05,0
"7","3","Test Team 1",2020-01-24,2020-03-19,1,55,2020-02-07,0
"7","3","Test Team 1",2020-01-23,2020-04-19,1,87,2020-04-19,0
"7","3","Test Team 1",2020-01-24,2021-01-01,0,343,2019-09-02,1
"7","3","Test Team 1",2020-01-22,2021-01-01,0,345,2020-10-18,0
"7","3","Test Team 1",2020-01-25,2020-06-07,1,134,2020-06-01,0
"7","3","Test Team 1",2020-01-25,2021-01-01,0,342,2019-03-02,1
"7","3","Test Team 1",2020-01-19,2020-07-20,1,183,2020-02-21,0
"7","3","Test Team 1",2020-01-25,2021-01-01,0,342,2019-05-15,1
"7","3","Test Team 1",2020-01-23,2020-06-02,1,131,2020-02-26,0
"7","3","Test Team 1",2020-01-20,2020-05-10,1,111,2020-02-07,0
"7","3","Test Team 1",2020-01-21,2020-04-16,1,86,2019-09-29,1
"8","3","Test Team 1",2020-01-20,2021-01-01,0,347,2021-01-01,0
"8","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-10-05,1
"8","3","Test Team 1",2020-01-23,2020-03-19,1,56,2019-08-10,1
"8","3","Test Team 1",2020-01-23,2020-05-12,1,110,2020-04-11,0
"8","3","Test Team 1",2020-01-20,2020-03-01,1,41,2019-01-04,1
"8","3","Test Team 1",2020-01-25,2020-02-03,1,9,2020-02-03,0
"8","3","Test Team 1",2020-01-19,2020-02-18,1,30,2020-02-05,0
"8","3","Test Team 1",2020-01-24,2021-01-01,0,343,2020-05-20,0
"8","3","Test Team 1",2020-01-22,2020-02-09,1,18,2020-01-29,0
"8","3","Test Team 1",2020-01-25,2020-01-26,1,1,2020-01-25,0
"8","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-05-26,1
"8","3","Test Team 1",2020-01-20,2021-01-01,0,347,2020-09-07,0
"8","3","Test Team 1",2020-01-21,2020-04-03,1,73,2020-01-22,0
"8","3","Test Team 1",2020-01-22,2020-04-21,1,90,2019-10-22,1
"8","3","Test Team 1",2020-01-24,2020-04-07,1,74,2020-03-20,0
"8","3","Test Team 1",2020-01-23,2020-04-29,1,97,2019-10-12,1
"9","3","Test Team 1",2020-01-23,2020-05-07,1,105,2019-08-31,1
"9","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-05-04,1
"9","3","Test Team 1",2020-01-23,2020-04-23,1,91,2020-03-04,0
"9","3","Test Team 1",2020-01-24,2020-05-16,1,113,2019-06-30,1
"9","3","Test Team 1",2020-01-24,2021-01-01,0,343,2021-01-01,0
"9","3","Test Team 1",2020-01-19,2020-04-25,1,97,2019-04-23,1
"9","3","Test Team 1",2020-01-24,2020-02-08,1,15,2019-09-13,1
"9","3","Test Team 1",2020-01-22,2020-10-05,1,257,2019-05-15,1
"9","3","Test Team 1",2020-01-19,2020-08-03,1,197,2020-02-15,0
"10","3","Test Team 1",2020-01-23,2020-08-29,1,219,2020-02-05,0
"10","3","Test Team 1",2020-01-25,2020-06-06,1,133,2020-03-12,0
"10","3","Test Team 1",2020-01-20,2021-01-01,0,347,2021-01-01,0
"10","3","Test Team 1",2020-01-22,2020-02-02,1,11,2020-01-09,1
"10","3","Test Team 1",2020-01-21,2020-07-09,1,170,2020-06-06,0
"10","3","Test Team 1",2020-01-20,2021-01-01,0,347,2019-11-15,1
"10","3","Test Team 1",2020-01-22,2020-06-04,1,134,2019-12-31,1
"10","3","Test Team 1",2020-01-23,2021-01-01,0,344,2020-03-19,0
"10","3","Test Team 1",2020-01-21,2020-03-01,1,40,2020-02-20,0
"10","3","Test Team 1",2020-01-24,2021-01-01,0,343,2020-10-17,0
"10","3","Test Team 1",2020-01-19,2021-01-01,0,348,2020-01-11,1
"10","3","Test Team 1",2020-01-20,2020-07-30,1,192,2020-06-28,0
"10","3","Test Team 1",2020-01-19,2020-05-06,1,108,2020-02-13,0
"10","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-03-21,1
"10","3","Test Team 1",2020-01-22,2021-01-01,0,345,2019-01-02,1
"1","4","Test Team 1",2020-01-31,2021-01-01,0,336,2021-01-01,0
"1","4","Test Team 1",2020-01-29,2021-01-01,0,338,2020-07-12,0
"2","4","Test Team 1",2020-01-31,2021-01-01,0,336,2020-06-24,0
"2","4","Test Team 1",2020-01-29,2020-04-04,1,66,2020-02-28,0
"2","4","Test Team 1",2020-01-27,2020-03-23,1,56,2019-11-08,1
"2","4","Test Team 1",2020-01-28,2021-01-01,0,339,2020-01-15,1
"2","4","Test Team 1",2020-01-30,2021-01-01,0,337,2019-06-04,1
"2","4","Test Team 1",2020-01-26,2020-05-01,1,96,2020-03-20,0
"2","4","Test Team 1",2020-01-30,2020-04-09,1,70,2019-10-01,1
"2","4","Test Team 1",2020-01-28,2020-06-11,1,135,2020-02-10,0
"2","4","Test Team 1",2020-01-27,2020-02-08,1,12,2019-01-15,1
"2","4","Test Team 1",2020-01-31,2020-05-16,1,106,2020-05-02,0
"2","4","Test Team 1",2020-01-28,2020-07-03,1,157,2020-04-13,0
"2","4","Test Team 1",2020-02-01,2021-01-01,0,335,2020-11-11,0
"2","4","Test Team 1",2020-02-01,2021-01-01,0,335,2020-03-12,0
"2","4","Test Team 1",2020-01-31,2020-08-01,1,183,2019-04-19,1
"2","4","Test Team 1",2020-02-01,2021-01-01,0,335,2021-01-01,0
"2","4","Test Team 1",2020-01-30,2021-01-01,0,337,2020-04-19,0
"2","4","Test Team 1",2020-01-30,2020-04-09,1,70,2020-04-04,0
"2","4","Test Team 1",2020-01-29,2020-04-30,1,92,2019-10-26,1
"2","4","Test Team 1",2020-02-01,2020-03-15,1,43,2019-08-26,1
"2","4","Test Team 1",2020-01-26,2021-01-01,0,341,2021-01-01,0
"3","4","Test Team 1",2020-01-29,2021-01-01,0,338,2020-06-25,0
"3","4","Test Team 1",2020-01-27,2020-06-23,1,148,2020-05-25,0
"3","4","Test Team 1",2020-01-28,2020-02-23,1,26,2019-01-10,1
"3","4","Test Team 1",2020-01-29,2021-01-01,0,338,2021-01-01,0
"3","4","Test Team 1",2020-01-31,2020-04-30,1,90,2019-10-20,1
"3","4","Test Team 1",2020-01-30,2021-01-01,0,337,2019-05-30,1
"3","4","Test Team 1",2020-01-26,2020-02-23,1,28,2020-02-12,0
"3","4","Test Team 1",2020-02-01,2020-02-25,1,24,2020-02-12,0
"3","4","Test Team 1",2020-02-01,2020-09-14,1,226,2020-03-03,0
"3","4","Test Team 1",2020-01-29,2020-04-26,1,88,2020-03-17,0
"4","4","Test Team 1",2020-01-28,2021-01-01,0,339,2020-10-13,0
"4","4","Test Team 1",2020-01-30,2020-04-23,1,84,2020-02-24,0
"4","4","Test Team 1",2020-02-01,2021-01-01,0,335,2019-10-09,1
