"team","group","first.seen","last.seen"
"8","Test Team 1",2020-01-07,2020-02-10
"8","Test Team 1",2020-01-07,2020-01-07
"8","Test Team 1",2020-01-07,2020-08-04
"8","Test Team 1",2020-01-07,2021-01-01
"8","Test Team 1",2020-01-07,2020-10-18
"8","Test Team 1",2020-01-06,2020-09-01
"8","Test Team 1",2020-01-07,2020-02-18
"8","Test Team 1",2020-01-05,2020-02-18
"8","Test Team 1",2020-01-07,2020-03-10
"8","Test Team 1",2020-01-06,2020-02-18
"8","Test Team 1",2020-01-07,2021-01-01
"8","Test Team 1",2020-01-06,2020-05-31
"8","Test Team 1",2020-01-06,2020-07-21
"8","Test Team 1",2020-01-05,2020-01-07
"8","Test Team 1",2020-01-05,2020-01-15
"9","Test Team 1",2020-01-06,2020-04-05
"9","Test Team 1",2020-01-07,2020-07-28
"9","Test Team 1",2020-01-07,2020-01-21
"9","Test Team 1",2020-01-07,2020-12-15
"9","Test Team 1",2020-01-05,2020-04-28
"9","Test Team 1",2020-01-07,2020-07-14
"9","Test Team 1",2020-01-07,2020-03-03
"9","Test Team 1",2020-01-07,2020-03-01
"9","Test Team 1",2020-01-06,2020-04-28
"9","Test Team 1",2020-01-06,2020-09-08
"9","Test Team 1",2020-01-07,2021-01-01
"10","Test Team 1",2020-01-07,2020-09-01
"10","Test Team 1",2020-01-07,2021-01-01
"10","Test Team 1",2020-01-05,2020-04-07
"10","Test Team 1",2020-01-07,2020-02-25
"10","Test Team 1",2020-01-06,2020-01-06
"10","Test Team 1",2020-01-07,2020-05-05
"10","Test Team 1",2020-01-07,2020-01-21
"10","Test Team 1",2020-01-06,2020-01-08
"10","Test Team 1",2020-01-07,2020-04-07
"10","Test Team 1",2020-01-07,2020-01-21
"10","Test Team 1",2020-01-07,2020-02-16
"10","Test Team 1",2020-01-07,2020-05-04
"10","Test Team 1",2020-01-07,2020-05-05
"10","Test Team 1",2020-01-07,2021-01-01
"10","Test Team 1",2020-01-07,2020-06-30
"10","Test Team 1",2020-01-06,2020-01-20
"1","Test Team 1",2020-01-14,2020-01-15
"1","Test Team 1",2020-01-14,2020-01-14
"1","Test Team 1",2020-01-14,2020-04-28
"1","Test Team 1",2020-01-14,2020-01-14
"1","Test Team 1",2020-01-13,2021-01-01
"1","Test Team 1",2020-01-14,2020-01-15
"1","Test Team 1",2020-01-13,2020-06-21
"1","Test Team 1",2020-01-14,2020-01-14
"1","Test Team 1",2020-01-13,2020-02-16
"1","Test Team 1",2020-01-12,2020-07-28
"1","Test Team 1",2020-01-14,2020-01-15
"1","Test Team 1",2020-01-14,2021-01-01
"1","Test Team 1",2020-01-14,2020-10-13
"1","Test Team 1",2020-01-14,2021-01-01
"1","Test Team 1",2020-01-14,2020-02-18
"1","Test Team 1",2020-01-14,2021-01-01
"1","Test Team 1",2020-01-12,2020-01-15
"1","Test Team 1",2020-01-14,2020-07-05
"1","Test Team 1",2020-01-13,2020-01-21
"1","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-14,2020-09-01
"2","Test Team 1",2020-01-14,2020-10-11
"2","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-12,2020-04-13
"2","Test Team 1",2020-01-14,2020-05-26
"2","Test Team 1",2020-01-14,2020-08-04
"2","Test Team 1",2020-01-14,2020-07-13
"2","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-14,2020-06-16
"2","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-14,2020-03-24
"2","Test Team 1",2020-01-14,2021-01-01
"2","Test Team 1",2020-01-14,2020-03-03
"2","Test Team 1",2020-01-12,2021-01-01
"2","Test Team 1",2020-01-14,2020-06-09
"2","Test Team 1",2020-01-13,2020-03-15
"3","Test Team 1",2020-01-14,2020-05-05
"3","Test Team 1",2020-01-14,2020-02-17
"3","Test Team 1",2020-01-14,2020-06-09
"3","Test Team 1",2020-01-14,2020-04-28
"3","Test Team 1",2020-01-14,2021-01-01
"3","Test Team 1",2020-01-14,2020-01-15
"3","Test Team 1",2020-01-14,2021-01-01
"3","Test Team 1",2020-01-12,2020-10-18
"3","Test Team 1",2020-01-12,2020-04-14
"3","Test Team 1",2020-01-14,2020-09-06
"3","Test Team 1",2020-01-12,2021-01-01
"3","Test Team 1",2020-01-13,2020-03-31
"3","Test Team 1",2020-01-14,2020-11-17
"3","Test Team 1",2020-01-14,2020-11-09
"3","Test Team 1",2020-01-14,2020-03-10
"3","Test Team 1",2020-01-14,2020-02-11
"3","Test Team 1",2020-01-14,2020-04-28
"3","Test Team 1",2020-01-14,2020-06-16
"3","Test Team 1",2020-01-14,2020-08-23
"3","Test Team 1",2020-01-12,2020-06-09
"3","Test Team 1",2020-01-14,2021-01-01
"4","Test Team 1",2020-01-14,2020-03-03
"5","Test Team 1",2020-01-13,2021-01-01
"5","Test Team 1",2020-01-13,2020-11-15
"6","Test Team 1",2020-01-14,2020-04-07
"6","Test Team 1",2020-01-14,2020-03-31
"6","Test Team 1",2020-01-13,2020-10-13
"6","Test Team 1",2020-01-12,2020-04-07
"6","Test Team 1",2020-01-14,2020-12-22
"6","Test Team 1",2020-01-14,2020-06-02
"6","Test Team 1",2020-01-14,2020-06-02
"7","Test Team 1",2020-01-14,2021-01-01
"7","Test Team 1",2020-01-12,2021-01-01
"7","Test Team 1",2020-01-14,2020-04-12
"7","Test Team 1",2020-01-12,2020-12-06
"7","Test Team 1",2020-01-14,2020-02-25
"7","Test Team 1",2020-01-14,2021-01-01
"7","Test Team 1",2020-01-14,2020-02-11
"7","Test Team 1",2020-01-14,2020-10-13
"8","Test Team 1",2020-01-14,2020-03-03
"8","Test Team 1",2020-01-14,2020-04-12
"8","Test Team 1",2020-01-14,2021-01-01
"8","Test Team 1",2020-01-13,2020-03-24
"8","Test Team 1",2020-01-14,2020-09-01
"8","Test Team 1",2020-01-14,2021-01-01
"9","Test Team 1",2020-01-14,2020-06-09
"9","Test Team 1",2020-01-14,2020-02-25
"10","Test Team 1",2020-01-12,2020-01-28
"10","Test Team 1",2020-01-14,2020-02-18
"10","Test Team 1",2020-01-14,2020-01-28
"1","Test Team 1",2020-01-21,2020-08-25
"1","Test Team 1",2020-01-21,2020-10-12
"1","Test Team 1",2020-01-19,2020-05-26
"1","Test Team 1",2020-01-20,2020-01-21
"1","Test Team 1",2020-01-21,2020-02-18
"1","Test Team 1",2020-01-20,2020-08-18
"1","Test Team 1",2020-01-21,2020-06-23
"1","Test Team 1",2020-01-21,2020-11-10
"1","Test Team 1",2020-01-21,2020-08-11
"1","Test Team 1",2020-01-21,2020-02-11
"1","Test Team 1",2020-01-21,2021-01-01
"1","Test Team 1",2020-01-21,2021-01-01
"1","Test Team 1",2020-01-21,2020-11-22
"1","Test Team 1",2020-01-21,2020-04-05
"2","Test Team 1",2020-01-19,2020-11-10
"2","Test Team 1",2020-01-21,2020-04-28
"2","Test Team 1",2020-01-21,2020-04-28
"2","Test Team 1",2020-01-21,2020-06-22
"2","Test Team 1",2020-01-21,2020-09-29
"2","Test Team 1",2020-01-21,2020-01-21
"2","Test Team 1",2020-01-21,2020-10-18
"2","Test Team 1",2020-01-21,2020-07-19
"2","Test Team 1",2020-01-21,2020-05-12
"2","Test Team 1",2020-01-21,2020-11-10
"2","Test Team 1",2020-01-21,2020-07-07
"2","Test Team 1",2020-01-20,2021-01-01
"2","Test Team 1",2020-01-21,2021-01-01
"2","Test Team 1",2020-01-21,2021-01-01
"2","Test Team 1",2020-01-21,2020-04-12
"2","Test Team 1",2020-01-21,2020-05-19
"2","Test Team 1",2020-01-21,2020-03-10
"2","Test Team 1",2020-01-20,2020-04-27
"2","Test Team 1",2020-01-21,2021-01-01
"2","Test Team 1",2020-01-21,2020-01-21
"2","Test Team 1",2020-01-21,2020-07-28
"2","Test Team 1",2020-01-20,2021-01-01
"2","Test Team 1",2020-01-21,2020-03-03
"2","Test Team 1",2020-01-21,2020-03-10
"2","Test Team 1",2020-01-21,2020-02-11
"2","Test Team 1",2020-01-21,2020-01-27
"2","Test Team 1",2020-01-19,2020-03-29
"2","Test Team 1",2020-01-21,2020-01-28
"3","Test Team 1",2020-01-21,2020-10-13
"3","Test Team 1",2020-01-21,2021-01-01
"3","Test Team 1",2020-01-21,2020-01-28
"3","Test Team 1",2020-01-20,2020-05-19
"3","Test Team 1",2020-01-19,2021-01-01
"3","Test Team 1",2020-01-21,2020-09-29
"3","Test Team 1",2020-01-21,2020-11-22
"3","Test Team 1",2020-01-21,2020-03-02
"3","Test Team 1",2020-01-21,2020-04-28
"3","Test Team 1",2020-01-21,2020-11-10
"3","Test Team 1",2020-01-20,2020-03-10
"3","Test Team 1",2020-01-21,2020-04-28
"3","Test Team 1",2020-01-21,2020-10-06
"3","Test Team 1",2020-01-21,2021-01-01
"3","Test Team 1",2020-01-21,2021-01-01
"3","Test Team 1",2020-01-21,2020-02-17
"3","Test Team 1",2020-01-21,2020-04-05
"3","Test Team 1",2020-01-19,2020-02-16
"3","Test Team 1",2020-01-21,2020-08-25
"3","Test Team 1",2020-01-21,2020-06-07
"3","Test Team 1",2020-01-20,2020-09-15
"3","Test Team 1",2020-01-21,2020-03-24
"3","Test Team 1",2020-01-21,2020-01-28
"3","Test Team 1",2020-01-21,2020-06-16
"3","Test Team 1",2020-01-20,2021-01-01
"3","Test Team 1",2020-01-21,2020-12-07
"3","Test Team 1",2020-01-21,2020-08-16
"3","Test Team 1",2020-01-20,2021-01-01
"3","Test Team 1",2020-01-19,2021-01-01
"3","Test Team 1",2020-01-21,2020-09-07
"3","Test Team 1",2020-01-21,2021-01-01
"4","Test Team 1",2020-01-20,2020-01-21
"4","Test Team 1",2020-01-21,2020-01-22
"4","Test Team 1",2020-01-21,2020-06-16
"4","Test Team 1",2020-01-21,2020-06-08
"4","Test Team 1",2020-01-21,2020-06-15
"4","Test Team 1",2020-01-20,2020-08-16
"4","Test Team 1",2020-01-21,2020-02-18
"4","Test Team 1",2020-01-20,2020-02-04
"4","Test Team 1",2020-01-21,2020-11-08
"4","Test Team 1",2020-01-21,2020-01-28
"4","Test Team 1",2020-01-21,2020-02-25
"4","Test Team 1",2020-01-19,2020-01-21
"4","Test Team 1",2020-01-21,2020-03-03
"4","Test Team 1",2020-01-21,2020-02-04
"4","Test Team 1",2020-01-21,2020-06-28
"4","Test Team 1",2020-01-21,2020-02-04
"4","Test Team 1",2020-01-21,2020-03-31
"4","Test Team 1",2020-01-19,2020-07-14
"4","Test Team 1",2020-01-21,2020-06-28
"4","Test Team 1",2020-01-21,2020-01-22
"4","Test Team 1",2020-01-20,2020-10-20
"4","Test Team 1",2020-01-21,2020-03-10
"5","Test Team 1",2020-01-21,2020-03-17
"5","Test Team 1",2020-01-20,2021-01-01
"5","Test Team 1",2020-01-20,2020-02-25
"5","Test Team 1",2020-01-21,2020-11-30
"5","Test Team 1",2020-01-21,2020-04-13
"5","Test Team 1",2020-01-21,2020-02-02
"5","Test Team 1",2020-01-21,2020-08-04
"5","Test Team 1",2020-01-20,2021-01-01
"5","Test Team 1",2020-01-21,2020-10-06
"5","Test Team 1",2020-01-21,2020-02-25
"5","Test Team 1",2020-01-21,2020-03-03
"5","Test Team 1",2020-01-20,2020-09-08
"5","Test Team 1",2020-01-19,2020-10-20
"5","Test Team 1",2020-01-21,2020-02-23
"5","Test Team 1",2020-01-21,2020-03-17
"5","Test Team 1",2020-01-21,2020-05-12
"5","Test Team 1",2020-01-21,2020-02-02
"6","Test Team 1",2020-01-21,2020-03-03
"6","Test Team 1",2020-01-21,2020-01-28
"6","Test Team 1",2020-01-21,2021-01-01
"6","Test Team 1",2020-01-21,2020-03-10
"6","Test Team 1",2020-01-21,2021-01-01
"6","Test Team 1",2020-01-21,2020-03-03
"6","Test Team 1",2020-01-20,2020-03-24
"6","Test Team 1",2020-01-19,2020-02-04
"6","Test Team 1",2020-01-19,2021-01-01
"6","Test Team 1",2020-01-21,2020-01-29
"6","Test Team 1",2020-01-19,2020-01-21
"6","Test Team 1",2020-01-20,2020-01-27
"6","Test Team 1",2020-01-21,2020-09-29
"6","Test Team 1",2020-01-21,2021-01-01
"7","Test Team 1",2020-01-21,2021-01-01
"7","Test Team 1",2020-01-20,2020-01-21
"7","Test Team 1",2020-01-21,2020-04-28
"7","Test Team 1",2020-01-21,2020-05-26
"7","Test Team 1",2020-01-19,2021-01-01
"7","Test Team 1",2020-01-21,2021-01-01
"7","Test Team 1",2020-01-21,2020-02-25
"7","Test Team 1",2020-01-21,2020-04-19
"7","Test Team 1",2020-01-21,2020-10-04
"7","Test Team 1",2020-01-19,2020-07-06
"7","Test Team 1",2020-01-19,2020-12-08
"7","Test Team 1",2020-01-20,2020-02-09
"7","Test Team 1",2020-01-21,2020-02-11
"7","Test Team 1",2020-01-21,2020-07-07
"7","Test Team 1",2020-01-20,2020-04-21
"7","Test Team 1",2020-01-21,2021-01-01
"7","Test Team 1",2020-01-19,2020-05-19
"7","Test Team 1",2020-01-21,2020-10-20
"7","Test Team 1",2020-01-21,2020-06-15
"8","Test Team 1",2020-01-21,2020-05-12
"8","Test Team 1",2020-01-19,2020-08-17
"8","Test Team 1",2020-01-21,2020-06-09
"8","Test Team 1",2020-01-21,2021-01-01
"8","Test Team 1",2020-01-21,2020-09-22
"8","Test Team 1",2020-01-21,2021-01-01
"8","Test Team 1",2020-01-20,2020-10-27
"8","Test Team 1",2020-01-19,2020-06-14
"8","Test Team 1",2020-01-21,2020-08-30
"8","Test Team 1",2020-01-21,2020-06-09
"8","Test Team 1",2020-01-21,2021-01-01
"8","Test Team 1",2020-01-21,2020-10-13
"8","Test Team 1",2020-01-21,2020-10-27
"8","Test Team 1",2020-01-19,2020-05-19
"8","Test Team 1",2020-01-21,2020-04-12
"8","Test Team 1",2020-01-20,2021-01-01
"8","Test Team 1",2020-01-21,2021-01-01
"8","Test Team 1",2020-01-21,2020-02-16
"8","Test Team 1",2020-01-21,2020-04-21
"9","Test Team 1",2020-01-21,2020-11-01
"9","Test Team 1",2020-01-21,2020-05-25
"9","Test Team 1",2020-01-20,2020-02-27
"9","Test Team 1",2020-01-21,2020-11-23
"9","Test Team 1",2020-01-19,2020-03-17
"9","Test Team 1",2020-01-21,2020-01-22
"9","Test Team 1",2020-01-20,2020-08-04
"9","Test Team 1",2020-01-20,2021-01-01
"9","Test Team 1",2020-01-21,2021-01-01
"9","Test Team 1",2020-01-21,2020-01-28
"9","Test Team 1",2020-01-21,2021-01-01
"9","Test Team 1",2020-01-21,2021-01-01
"9","Test Team 1",2020-01-21,2020-09-08
"9","Test Team 1",2020-01-21,2020-03-17
"9","Test Team 1",2020-01-20,2020-10-06
"9","Test Team 1",2020-01-21,2020-05-12
"9","Test Team 1",2020-01-20,2021-01-01
"9","Test Team 1",2020-01-21,2021-01-01
"9","Test Team 1",2020-01-20,2020-09-15
"9","Test Team 1",2020-01-21,2020-03-31
"10","Test Team 1",2020-01-21,2020-05-05
"10","Test Team 1",2020-01-21,2020-01-27
"10","Test Team 1",2020-01-21,2020-03-31
"10","Test Team 1",2020-01-21,2020-01-28
"10","Test Team 1",2020-01-21,2020-02-18
"10","Test Team 1",2020-01-19,2020-01-21
"10","Test Team 1",2020-01-20,2020-02-03
"10","Test Team 1",2020-01-20,2021-01-01
"10","Test Team 1",2020-01-21,2020-01-28
"10","Test Team 1",2020-01-20,2020-02-18
"10","Test Team 1",2020-01-19,2020-07-12
"10","Test Team 1",2020-01-21,2020-01-22
"10","Test Team 1",2020-01-21,2020-01-28
"10","Test Team 1",2020-01-21,2020-01-21
"10","Test Team 1",2020-01-21,2020-06-22
"10","Test Team 1",2020-01-21,2021-01-01
"10","Test Team 1",2020-01-19,2020-05-05
"10","Test Team 1",2020-01-21,2020-01-21
"10","Test Team 1",2020-01-21,2021-01-01
"10","Test Team 1",2020-01-20,2020-01-27
"10","Test Team 1",2020-01-20,2020-08-25
"10","Test Team 1",2020-01-20,2020-01-22
"10","Test Team 1",2020-01-19,2020-01-29
"10","Test Team 1",2020-01-21,2020-02-18
"10","Test Team 1",2020-01-21,2020-07-14
"10","Test Team 1",2020-01-21,2021-01-01
"1","Test Team 1",2020-01-26,2020-11-08
"1","Test Team 1",2020-01-27,2021-01-01
"1","Test Team 1",2020-01-28,2021-01-01
"1","Test Team 1",2020-01-27,2020-11-01
"1","Test Team 1",2020-01-28,2021-01-01
"1","Test Team 1",2020-01-28,2020-06-30
"1","Test Team 1",2020-01-28,2020-04-14
"1","Test Team 1",2020-01-28,2020-04-28
"1","Test Team 1",2020-01-27,2021-01-01
"1","Test Team 1",2020-01-28,2020-12-08
"1","Test Team 1",2020-01-26,2020-11-17
"1","Test Team 1",2020-01-28,2020-02-14
"1","Test Team 1",2020-01-27,2020-04-07
"1","Test Team 1",2020-01-26,2020-02-16
"1","Test Team 1",2020-01-28,2020-11-17
"1","Test Team 1",2020-01-28,2020-08-04
"1","Test Team 1",2020-01-26,2021-01-01
"2","Test Team 1",2020-01-28,2020-06-28
"2","Test Team 1",2020-01-28,2020-11-17
"2","Test Team 1",2020-01-28,2021-01-01
"2","Test Team 1",2020-01-28,2020-03-10
"2","Test Team 1",2020-01-26,2021-01-01
"2","Test Team 1",2020-01-26,2020-05-11
"2","Test Team 1",2020-01-28,2021-01-01
"2","Test Team 1",2020-01-28,2020-02-21
"2","Test Team 1",2020-01-27,2020-08-04
"2","Test Team 1",2020-01-28,2020-04-14
"2","Test Team 1",2020-01-27,2020-11-03
"3","Test Team 1",2020-01-27,2020-12-08
"3","Test Team 1",2020-01-26,2020-02-11
"3","Test Team 1",2020-01-28,2020-08-03
"3","Test Team 1",2020-01-28,2020-02-16
"3","Test Team 1",2020-01-26,2020-10-20
"3","Test Team 1",2020-01-28,2020-04-14
"3","Test Team 1",2020-01-26,2021-01-01
"4","Test Team 1",2020-01-28,2020-02-24
"4","Test Team 1",2020-01-28,2020-03-01
"4","Test Team 1",2020-01-28,2020-06-16
"4","Test Team 1",2020-01-28,2020-05-19
"4","Test Team 1",2020-01-28,2020-06-09
"4","Test Team 1",2020-01-28,2021-01-01
"4","Test Team 1",2020-01-28,2020-01-28
"4","Test Team 1",2020-01-28,2020-01-28
"4","Test Team 1",2020-01-28,2021-01-01
"4","Test Team 1",2020-01-28,2020-03-30
"4","Test Team 1",2020-01-28,2020-03-29
"4","Test Team 1",2020-01-28,2020-03-03
"4","Test Team 1",2020-01-28,2020-06-23
"4","Test Team 1",2020-01-26,2020-02-25
"4","Test Team 1",2020-01-26,2020-03-31
"4","Test Team 1",2020-01-28,2020-03-31
"4","Test Team 1",2020-01-26,2020-04-07
"4","Test Team 1",2020-01-28,2020-02-04
"4","Test Team 1",2020-01-28,2020-03-03
"4","Test Team 1",2020-01-26,2020-07-21
"5","Test Team 1",2020-01-28,2020-11-23
"5","Test Team 1",2020-01-28,2021-01-01
"5","Test Team 1",2020-01-28,2020-04-28
"5","Test Team 1",2020-01-28,2020-03-10
"5","Test Team 1",2020-01-28,2020-03-08
"5","Test Team 1",2020-01-26,2020-04-07
"5","Test Team 1",2020-01-27,2020-05-12
"5","Test Team 1",2020-01-28,2020-04-07
"5","Test Team 1",2020-01-28,2020-10-20
"6","Test Team 1",2020-01-28,2020-10-20
"6","Test Team 1",2020-01-28,2021-01-01
"6","Test Team 1",2020-01-27,2020-02-10
"6","Test Team 1",2020-01-28,2021-01-01
"6","Test Team 1",2020-01-28,2020-07-20
"6","Test Team 1",2020-01-28,2020-03-03
"6","Test Team 1",2020-01-28,2021-01-01
"6","Test Team 1",2020-01-28,2020-02-04
"7","Test Team 1",2020-01-28,2021-01-01
"7","Test Team 1",2020-01-26,2020-04-07
"7","Test Team 1",2020-01-28,2021-01-01
"7","Test Team 1",2020-01-26,2021-01-01
"7","Test Team 1",2020-01-28,2021-01-01
"7","Test Team 1",2020-01-28,2021-01-01
"7","Test Team 1",2020-01-26,2021-01-01
"7","Test Team 1",2020-01-28,2020-04-07
"7","Test Team 1",2020-01-28,2020-02-11
"7","Test Team 1",2020-01-28,2020-06-21
"7","Test Team 1",2020-01-27,2021-01-01
"7","Test Team 1",2020-01-28,2020-02-11
"7","Test Team 1",2020-01-28,2021-01-01
"7","Test Team 1",2020-01-28,2020-05-24
"7","Test Team 1",2020-01-28,2020-04-14
"7","Test Team 1",2020-01-28,2020-10-13
"7","Test Team 1",2020-01-28,2020-04-27
"7","Test Team 1",2020-01-28,2020-04-07
"7","Test Team 1",2020-01-28,2021-01-01
"7","Test Team 1",2020-01-28,2021-01-01
"8","Test Team 1",2020-01-26,2020-07-28
"8","Test Team 1",2020-01-27,2021-01-01
"8","Test Team 1",2020-01-27,2020-02-16
"8","Test Team 1",2020-01-28,2021-01-01
"8","Test Team 1",2020-01-28,2020-03-24
"8","Test Team 1",2020-01-28,2021-01-01
"8","Test Team 1",2020-01-26,2020-06-16
"8","Test Team 1",2020-01-28,2021-01-01
"8","Test Team 1",2020-01-28,2020-09-01
"8","Test Team 1",2020-01-28,2020-02-18
"8","Test Team 1",2020-01-28,2021-01-01
"8","Test Team 1",2020-01-28,2020-05-24
"9","Test Team 1",2020-01-28,2020-07-19
"9","Test Team 1",2020-01-28,2021-01-01
"9","Test Team 1",2020-01-27,2020-03-02
"9","Test Team 1",2020-01-28,2020-08-04
"9","Test Team 1",2020-01-28,2020-12-07
"9","Test Team 1",2020-01-28,2020-03-24
"9","Test Team 1",2020-01-28,2020-12-08
"9","Test Team 1",2020-01-28,2020-05-05
"10","Test Team 1",2020-01-28,2020-01-28
"10","Test Team 1",2020-01-28,2020-08-23
"10","Test Team 1",2020-01-28,2020-11-03
"10","Test Team 1",2020-01-28,2020-01-29
"10","Test Team 1",2020-01-28,2020-08-23
"10","Test Team 1",2020-01-28,2020-07-14
"10","Test Team 1",2020-01-26,2020-01-28
"10","Test Team 1",2020-01-28,2020-12-08
"10","Test Team 1",2020-01-28,2020-05-05
"10","Test Team 1",2020-01-26,2020-01-29
"10","Test Team 1",2020-01-28,2020-02-20
"10","Test Team 1",2020-01-28,2020-05-05
"10","Test Team 1",2020-01-28,2020-04-15
"10","Test Team 1",2020-01-27,2020-01-29
"10","Test Team 1",2020-01-28,2020-01-29
"10","Test Team 1",2020-01-28,2020-04-07
"10","Test Team 1",2020-01-28,2020-03-24
"10","Test Team 1",2020-01-26,2020-05-26
"10","Test Team 1",2020-01-28,2020-01-28
"1","Test Team 1",2020-02-02,2021-01-01
"1","Test Team 1",2020-02-04,2020-07-28
"1","Test Team 1",2020-02-04,2020-04-07
"1","Test Team 1",2020-02-04,2020-04-14
"1","Test Team 1",2020-02-02,2021-01-01
"1","Test Team 1",2020-02-04,2020-03-09
"1","Test Team 1",2020-02-02,2021-01-01
"1","Test Team 1",2020-02-03,2020-10-12
"1","Test Team 1",2020-02-04,2020-08-09
"1","Test Team 1",2020-02-04,2020-05-12
"1","Test Team 1",2020-02-04,2021-01-01
"1","Test Team 1",2020-02-04,2020-06-09
"1","Test Team 1",2020-02-04,2020-06-08
"1","Test Team 1",2020-02-02,2020-03-10
"1","Test Team 1",2020-02-02,2021-01-01
"1","Test Team 1",2020-02-04,2021-01-01
"1","Test Team 1",2020-02-03,2020-05-12
"2","Test Team 1",2020-02-03,2021-01-01
"2","Test Team 1",2020-02-04,2020-06-09
"2","Test Team 1",2020-02-04,2021-01-01
